"Županije","Mjesec","Tip","2016 Domaći","2016 Strani","2017 Domaći","2017 Strani","2018 Domaći","2018 Strani"
"VARAŽDINSKA","IX","Dolasci",2591,3110,2216,4185,2942,4556
"VARAŽDINSKA","IX","Noćenja",6628,7279,5940,7979,7024,8213
"VARAŽDINSKA","X","Dolasci",2755,2058,2994,2661,3287,2507
"VARAŽDINSKA","X","Noćenja",7621,4166,7661,5033,8331,5352
"VARAŽDINSKA","XI","Dolasci",2458,1760,2555,1674,3203,2041
"VARAŽDINSKA","XI","Noćenja",7161,3828,7837,3470,8516,4366
"VARAŽDINSKA","XII","Dolasci",2608,1235,3068,1298,3512,1569
"VARAŽDINSKA","XII","Noćenja",5883,2454,7033,2544,7799,3047
"KOPRIVNIČKO-KRIŽEVAČKA","I","Dolasci",830,338,744,415,709,400
"KOPRIVNIČKO-KRIŽEVAČKA","I","Noćenja",2376,894,2394,1042,2423,1103
"KOPRIVNIČKO-KRIŽEVAČKA","II","Dolasci",653,260,843,313,823,334
"KOPRIVNIČKO-KRIŽEVAČKA","II","Noćenja",1118,477,1812,756,1537,807
"KOPRIVNIČKO-KRIŽEVAČKA","III","Dolasci",781,537,896,601,553,287
"KOPRIVNIČKO-KRIŽEVAČKA","III","Noćenja",1745,1209,1875,1477,1023,665
"KOPRIVNIČKO-KRIŽEVAČKA","IV","Dolasci",1406,483,1058,601,1189,884
"KOPRIVNIČKO-KRIŽEVAČKA","IV","Noćenja",3132,972,2081,1766,2052,1443
"KOPRIVNIČKO-KRIŽEVAČKA","V","Dolasci",870,675,1106,653,1275,962
"KOPRIVNIČKO-KRIŽEVAČKA","V","Noćenja",1795,1572,2040,1489,2101,1440
"KOPRIVNIČKO-KRIŽEVAČKA","VI","Dolasci",701,794,863,862,873,968
"KOPRIVNIČKO-KRIŽEVAČKA","VI","Noćenja",1440,1263,1638,1843,2287,1362
"KOPRIVNIČKO-KRIŽEVAČKA","VII","Dolasci",461,730,625,882,500,1183
"KOPRIVNIČKO-KRIŽEVAČKA","VII","Noćenja",1099,1265,1601,2225,1244,2112
